TABLE_NAME	col_pos	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT	EXTRA	COLUMN_COMMENT
allergens	1	id	bigint unsigned	NO	PRI		auto_increment	
allergens	2	name	varchar(100)	NO	UNI			
categories	1	id	bigint unsigned	NO	PRI		auto_increment	
categories	2	name	varchar(50)	NO	UNI			
categories	3	tag	varchar(100)	YES				
category_units	1	category_id	bigint unsigned	NO	PRI			
category_units	2	unit_id	bigint unsigned	NO	PRI			
ingredient_allergens	1	ingredient_id	bigint unsigned	NO	PRI			
ingredient_allergens	2	allergen_id	bigint unsigned	NO	PRI			
ingredients	1	id	bigint unsigned	NO	PRI		auto_increment	
ingredients	2	name	varchar(100)	NO	UNI			
ingredients	3	category_id	bigint unsigned	NO	MUL			
ingredients	4	unit_id	bigint unsigned	YES	MUL			
ingredients	5	brand	varchar(100)	YES				
ingredients	6	threshold	decimal(10,2)	YES				
inventory	1	id	bigint unsigned	NO	PRI		auto_increment	
inventory	2	ingredient_id	bigint unsigned	NO	MUL			
inventory	3	unit_id	bigint unsigned	NO	MUL			
inventory	4	standard_qty	decimal(10,2)	YES				
inventory	5	actual_qty	decimal(10,2)	YES				
inventory	6	location	varchar(100)	NO				
inventory	7	update_time	datetime	NO				
inventory	8	restock_needed	tinyint(1)	NO		0		
modifier_product	1	product_id	bigint unsigned	NO	PRI			
modifier_product	2	modifier_id	bigint unsigned	NO	PRI			
modifier_product	3	created_at	timestamp	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED	
modifiers	1	id	bigint unsigned	NO	PRI		auto_increment	
modifiers	2	name	varchar(100)	NO	MUL			
modifiers	3	type	varchar(50)	NO				
modifiers	4	price	decimal(10,2)	NO		0.00		
modifiers	5	is_active	tinyint	NO		1		
modifiers	6	created_at	timestamp	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED	
modifiers	7	updated_at	timestamp	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP	
order_items	1	id	bigint unsigned	NO	PRI		auto_increment	
order_items	2	order_id	bigint unsigned	NO	MUL			
order_items	3	product_id	bigint unsigned	NO	MUL			
order_items	4	quantity	int unsigned	NO		1		
order_items	5	modifiers	json	YES				? ["??","??"]
order_items	6	price	decimal(10,2)	NO				
order_items	7	created_at	datetime	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED	
orders	1	id	bigint unsigned	NO	PRI		auto_increment	
orders	2	order_number	varchar(32)	NO	UNI			
orders	3	user_id	int	YES	MUL			
orders	4	pickup_number	varchar(16)	YES				???
orders	5	created_at	datetime	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED	
orders	6	updated_at	datetime	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP	
orders	7	payment_method	enum('cash','card','wechat')	NO				
orders	8	dine_option	enum('take_out','dine_in')	NO				
orders	9	total_price	decimal(10,2)	NO		0.00		
orders	10	order_status	enum('IP','Completed','Refunded','preorder')	NO	MUL	IP		
permissions	1	id	bigint	NO	PRI		auto_increment	
permissions	2	code	varchar(128)	NO	UNI			
permissions	3	name	varchar(128)	NO				
permissions	4	description	varchar(255)	YES				
purchase_order_items	1	id	bigint unsigned	NO	PRI		auto_increment	
purchase_order_items	2	purchase_order_id	bigint unsigned	NO	MUL			
purchase_order_items	3	ingredient_id	bigint unsigned	NO	MUL			
purchase_order_items	4	unit_id	bigint unsigned	NO	MUL			
purchase_order_items	5	quantity	decimal(10,2)	NO				
purchase_order_items	6	vendor	varchar(100)	YES				Vendor for this specific ingredient
purchase_order_items	7	total_amount	decimal(10,2)	YES		0.00		Total amount for this purchase item in dollars
purchase_orders	1	id	bigint unsigned	NO	PRI		auto_increment	
purchase_orders	2	po_code	varchar(50)	NO	UNI			
purchase_orders	3	order_date	date	NO				
purchase_orders	4	store_id	varchar(10)	NO				
purchase_orders	5	total_amount	decimal(10,2)	YES		0.00		Total amount for the entire purchase order in dollars
recipe_ingredients	1	recipe_id	bigint unsigned	NO	PRI			
recipe_ingredients	2	ingredient_id	bigint unsigned	NO	PRI			
recipe_ingredients	3	unit_id	bigint unsigned	NO	MUL			
recipe_ingredients	4	quantity	decimal(10,2)	NO				
recipes	1	id	bigint unsigned	NO	PRI		auto_increment	
recipes	2	name	varchar(100)	NO	UNI			
recipes	3	type	varchar(50)	NO				
role_permissions	1	role_id	bigint	NO	PRI			
role_permissions	2	permission_id	bigint	NO	PRI			
roles	1	id	bigint	NO	PRI		auto_increment	
roles	2	code	varchar(64)	NO	UNI			
roles	3	name	varchar(128)	NO				
roles	4	description	varchar(255)	YES				
semi_finished_product_ingredients	1	semi_finished_product_id	bigint unsigned	NO	PRI			
semi_finished_product_ingredients	2	ingredient_id	bigint unsigned	NO	PRI			
semi_finished_product_ingredients	3	unit_id	bigint unsigned	NO	MUL			
semi_finished_product_ingredients	4	quantity	decimal(10,2)	NO				
semi_finished_products	1	id	bigint unsigned	NO	PRI		auto_increment	
semi_finished_products	2	name	varchar(100)	NO	UNI			
semi_finished_products	3	prep_time_hours	decimal(5,2)	NO				
semi_finished_products	4	threshold	decimal(10,2)	YES				Low stock threshold
semi_finished_products	5	unit_id	bigint unsigned	YES	MUL			
semi_product_inventory	1	id	bigint unsigned	NO	PRI		auto_increment	
semi_product_inventory	2	semi_product_id	bigint unsigned	NO	MUL			
semi_product_inventory	3	unit_id	bigint unsigned	NO	MUL			
semi_product_inventory	4	standard_qty	decimal(10,2)	YES				Standard quantity to maintain
semi_product_inventory	5	actual_qty	decimal(10,2)	YES				Current actual quantity in stock
semi_product_inventory	6	location	varchar(100)	NO				Storage location
semi_product_inventory	7	update_time	datetime	NO				Last update timestamp
semi_product_inventory	8	restock_needed	int	NO		0		1 if restock needed, 0 otherwise
